type,act,sat2400,gpaWeighted,gpaCumulative,satConcorded,resultCode
RD,0,1700,3.7758,3.7758,1220,2
RD,17,0,2.7578,2.7578,0,2
RD,31,2150,4.0238,4.0238,1490,2
RD,26,1980,3.8142,3.8142,1400,2
RD,0,1630,3.3482,3.3482,1180,2
RD,0,2290,3.7683,3.7683,1550,2
RD,0,1710,3.0905,3.0905,1230,2
RD,0,2240,3.9654,3.9654,1530,2
RD,0,2230,4.2267,4.2267,1530,2
ED,0,2240,4.2714,4.2714,1530,2
RD,0,1890,3.5589,3.5589,1340,2
RD,30,0,3.624,3.624,0,2
RD,0,2100,3.4482,3.4482,1470,2
RD,0,1700,3.925,3.925,1220,1
ED,0,2140,3.991,3.991,1490,2
RD,0,1970,4.1785,4.1785,1390,2
RD,0,2040,4.1642,4.1642,1430,2
RD,0,1820,3.6188,3.6188,1300,2
RD,0,1840,3.8321,3.8321,1310,2
RD,0,2330,3.8087,3.8087,1570,2
RD,0,2220,3.9,0,1520,2
RD,0,1690,3.6307,3.6307,1210,2
RD,28,1810,3.3795,3.3795,1290,2
ED,33,2210,4.1483,4.1483,1520,2
RD,0,2170,4.2464,4.2464,1500,2
ED,0,2310,3.9491,3.9491,1560,2
RD,0,2320,4.275,4.275,1570,2
RD,27,1860,3.3892,3.3892,1320,2
RD,27,1860,3.3892,3.3892,1320,2
RD,0,2240,4.2017,4.2017,1530,2
RD,0,2070,3.6962,3.6962,1450,2
RD,22,1510,3.3633,3.3633,1100,2
RD,34,2010,2.9661,2.9661,1410,2
RD,0,2290,4.3054,4.3054,1550,2
RD,0,2280,4.3571,4.3571,1550,2
RD,0,2090,4.0304,4.0304,1460,2
RD,27,1890,3.5096,3.5096,1340,2
RD,0,2110,4.2589,4.2589,1470,1
RD,0,1780,3.5607,3.5607,1270,2
RD,32,0,3.6571,3.6571,0,2
RD,29,0,3.9603,3.9603,0,2
RD,35,0,4.3164,4.3164,0,2
RD,35,0,3.9742,3.9742,0,2
RD,29,0,3.9544,3.9544,0,2
RD,28,0,4.0117,4.0117,0,2
