type,act,sat2400,gpaWeighted,gpaCumulative,satConcorded,resultCode
RD,24,0,3.4789,3.4438,0,2
RD,0,1890,3.566,3.5303,1340,2
RD,0,1440,3.3948,3.2741,1050,2
ED,0,2090,3.3017,3.2482,1460,2
ED,0,2090,3.3017,3.2482,1460,2
RD,0,2030,3.9161,3.9161,1430,2
RD,31,2150,4.0238,4.0238,1490,1
RD,0,2030,4.0112,4.0112,1430,1
ED,0,2300,3.8968,3.8968,1560,1
RD,26,1980,3.8142,3.8142,1400,2
ED,0,2000,4.1892,4.1892,1410,2
RD,17,1550,3.4614,3.4614,1120,1
RD,27,1880,3.5607,3.5607,1340,2
RD,0,2180,4.1321,4.1321,1510,2
RD,0,2020,3.5857,3.5857,1420,2
RD,24,1520,3.4129,3.4129,1110,2
ED,0,2090,4.1339,4.1339,1460,2
RD,0,2240,4.2714,4.2714,1530,2
RD,0,1700,3.8357,3.8357,1220,2
RD,0,2210,4.007,4.007,1520,1
RD,0,2110,3.9052,3.9052,1470,2
RD,0,1830,3.3827,3.3827,1300,2
ED,0,1630,2.9035,2.9035,1180,2
RD,0,1820,3.6188,3.6188,1300,2
RD,0,2330,3.8087,3.8087,1570,2
RD,0,1690,3.6307,3.6307,1210,1
ED,0,2270,4.0892,4.0892,1550,1
RD,0,2170,4.2464,4.2464,1500,2
RD,0,2270,3.9266,3.9266,1550,2
RD,0,2320,4.275,4.275,1570,2
ED,30,2110,3.9672,3.9672,1470,2
RD,27,1860,3.3892,3.3892,1320,2
RD,27,1860,3.3892,3.3892,1320,2
RD,28,1810,3.3795,3.3795,1290,2
RD,0,1860,3.8714,3.8714,1320,2
RD,26,1890,3.2543,3.2543,1340,2
RD,0,1430,3.3566,3.3566,1050,2
RD,20,1570,3.4074,3.4074,1140,2
RD,26,1800,4.0238,4.0238,1290,2
RD,0,1690,2.4767,2.4767,1210,2
RD,0,2280,4.3571,4.3571,1550,1
RD,0,2170,4.1455,4.1455,1500,2
RD,27,1890,3.5096,3.5096,1340,2
RD,0,1840,3.7725,3.7725,1310,2
RD,34,1740,4.1518,4.1518,1250,2
RD,0,1780,3.5607,3.5607,1270,2
RD,0,2330,4.3397,4.3397,1570,2
RD,29,0,3.7179,3.7179,0,2
RD,35,0,4.3164,4.3164,0,1
RD,29,0,4.1679,4.1679,0,2
RD,35,0,4.2107,4.2107,0,2
RD,35,0,4.0661,4.0661,0,2
RD,32,0,4.3709,4.3709,0,2
RD,29,0,3.9544,3.9544,0,2
RD,35,0,4.2982,4.2982,0,1
RD,19,0,3.3321,3.3321,0,2
ED,35,0,4.1795,4.1795,0,2
RD,0,2100,4.1018,4.1018,1470,1
