type,act,sat2400,gpaWeighted,gpaCumulative,satConcorded,resultCode
RD,21,1590,3.2844,3.112,1150,1
RD,21,1590,3.2844,3.112,1150,1
EA,0,2030,3.9161,3.9161,1430,1
EA,0,2080,4,4,1450,1
EA,0,1990,2.9241,2.9241,1400,2
EA,0,1710,3.2355,3.2355,1230,2
EA,0,2300,3.8968,3.8968,1560,1
EA,0,1630,3.3482,3.3482,1180,2
RD,27,2010,3.8983,3.8983,1410,1
RD,0,2050,3.0454,3.0454,1440,2
RD,0,2200,3.4,3.4,1510,1
RD,0,2230,3.5129,3.5129,1530,1
EA,27,1780,3.8625,3.8625,1270,1
EA,0,1640,3.0714,3.0714,1180,2
EA,0,2070,3.591,3.591,1450,1
EA,0,2000,4.1892,4.1892,1410,1
RD,27,1860,3.7589,3.7589,1320,1
RD,0,1480,3.4191,3.4191,1080,2
EA,0,2270,4.0543,4.0543,1550,1
RD,29,0,3.591,3.591,0,1
RD,0,1630,2.9035,2.9035,1180,2
EA,0,1860,3.5543,3.5543,1320,1
RD,0,1920,3.7035,3.7035,1360,1
RD,0,1790,3.1354,3.1354,1280,2
EA,0,2050,3.8946,3.8946,1440,1
EA,31,2080,4.0333,4.0333,1450,1
RD,0,1730,3.1578,3.1578,1240,2
RD,26,1770,3.6836,3.6836,1270,1
RD,0,1990,3.434,3.434,1400,2
EA,31,1770,4.1684,4.1684,1270,1
EA,0,2200,4.1393,4.1393,1510,1
RD,26,1950,2.8818,2.8818,1380,2
EA,0,1840,3.7232,3.7232,1310,2
EA,31,1770,4.1684,4.1684,1270,1
EA,22,2120,3.4839,3.4839,1480,2
EA,0,2110,4.2589,4.2589,1470,1
EA,0,2120,4.0071,4.0071,1480,1
RD,0,2080,3.6911,3.6911,1450,2
EA,0,1760,4.0321,4.0321,1260,2
EA,0,1710,3.6089,3.6089,1230,2
RD,0,2000,4.0074,4.0074,1410,1
RD,0,1880,3.7145,3.7145,1340,1
RD,35,0,3.9742,3.9742,0,1
EA,33,0,3.687,3.687,0,2
RD,32,0,4.2327,4.2327,0,1
