type,act,sat2400,gpaWeighted,gpaCumulative,satConcorded,resultCode
ROLL,19,1580,3.0558,3.0117,1140,2
RD,35,0,4.212,3.9534,0,2
RD,0,2030,4.0112,4.0112,1430,2
RD,31,2150,4.0238,4.0238,1490,2
REA,0,1760,3.7447,3.7447,1260,2
RD,0,2230,3.5551,3.5551,1530,2
RD,0,2090,4.1339,4.1339,1460,1
RD,0,1890,3.5589,3.5589,1340,2
RD,0,1700,3.8357,3.8357,1220,2
RD,0,2100,3.4482,3.4482,1470,2
RD,0,2040,4.1642,4.1642,1430,2
REA,0,2170,4.2464,4.2464,1500,2
RD,0,2270,3.9266,3.9266,1550,2
RD,0,2320,4.275,4.275,1570,2
RD,30,2110,3.9672,3.9672,1470,2
RD,0,2280,4.3571,4.3571,1550,1
RD,0,2110,4.2589,4.2589,1470,2
RD,26,1740,3.5439,3.5439,1250,2
RD,0,1540,2.9357,2.9357,1120,2
EA,35,0,4.3164,4.3164,0,2
RD,35,0,4.0661,4.0661,0,2
RD,32,0,4.3709,4.3709,0,2
RD,36,0,4.2172,4.2172,0,2
RD,19,0,3.3321,3.3321,0,2
RD,34,0,4.4509,4.4509,0,2
RD,29,0,3.9544,3.9544,0,2
