type,act,sat2400,gpaWeighted,gpaCumulative,satConcorded,resultCode
RD,35,0,4.212,3.9534,0,2
RD,0,2290,3.7683,3.7683,1550,2
RD,32,2220,4.0557,4.0557,1520,2
RD,0,2240,3.9654,3.9654,1530,2
RD,19,1260,2.2925,2.2925,930,2
RD,31,2150,4.0238,4.0238,1490,2
RD,0,2030,4.0112,4.0112,1430,2
RD,0,2230,3.5551,3.5551,1530,2
RD,27,1880,3.5607,3.5607,1340,2
RD,0,2240,4.2714,4.2714,1530,1
RD,0,2090,4.1339,4.1339,1460,2
RD,0,2180,4.1321,4.1321,1510,2
RD,0,1580,3.425,3.425,1140,2
RD,0,1890,3.5589,3.5589,1340,2
RD,0,2180,4.1321,4.1321,1510,2
RD,0,1970,2.6052,2.6052,1390,2
RD,0,2100,3.4482,3.4482,1470,2
RD,0,2040,4.1642,4.1642,1430,2
RD,0,2330,3.8087,3.8087,1570,2
RD,33,2050,4.3125,4.3125,1440,2
RD,0,2170,4.2464,4.2464,1500,2
RD,0,2270,3.9266,3.9266,1550,2
RD,33,2210,4.1483,4.1483,1520,2
REA,0,1920,3.4196,3.4196,1360,2
RD,24,1720,3.6892,3.6892,1230,2
RD,0,1860,3.8714,3.8714,1320,2
RD,0,2320,4.275,4.275,1570,2
RD,30,2110,3.9672,3.9672,1470,2
RD,0,2330,4.3397,4.3397,1570,2
RD,0,2040,4.3912,4.3912,1430,1
RD,0,2280,4.3571,4.3571,1550,2
RD,0,2130,3.9945,3.9945,1480,2
RD,26,1740,3.5439,3.5439,1250,2
RD,0,1540,2.9357,2.9357,1120,2
RD,35,0,4.3164,4.3164,0,2
RD,24,0,4.0382,4.0382,0,2
REA,36,0,4.2172,4.2172,0,1
RD,35,0,4.2107,4.2107,0,2
RD,35,0,4.0661,4.0661,0,2
RD,32,0,4.2327,4.2327,0,2
REA,34,0,4.4509,4.4509,0,1
RD,26,0,3.3214,3.3214,0,2
